fastq_name,syn_id,visit,donor_id,library_id
BRI_539_S25_L001_R1_001.fastq.gz,syn26330659,V0,300-0491,BRI_539
BRI_539_S25_L001_R2_001.fastq.gz,syn26330661,V0,300-0491,BRI_539
BRI_484_S8_L001_R1_001.fastq.gz,syn26330253,V0,300-1929,BRI_484
BRI_484_S8_L001_R2_001.fastq.gz,syn26330254,V0,300-1929,BRI_484
BRI_543_S27_L001_R1_001.fastq.gz,syn26330671,V0,300-0507,BRI_543
BRI_543_S27_L001_R2_001.fastq.gz,syn26330674,V0,300-0507,BRI_543
BRI_482_S7_L001_R1_001.fastq.gz,syn26330188,V0,300-0413,BRI_482
BRI_482_S7_L001_R2_001.fastq.gz,syn26330215,V0,300-0413,BRI_482
BRI_506_S12_L001_R1_001.fastq.gz,syn26330579,V0,300-0392,BRI_506
BRI_506_S12_L001_R2_001.fastq.gz,syn26330629,V0,300-0392,BRI_506
BRI_508_S13_L001_R1_001.fastq.gz,syn26330633,V0,300-0488,BRI_508
BRI_508_S13_L001_R2_001.fastq.gz,syn26330636,V0,300-0488,BRI_508
BRI_530_S22_L001_R1_001.fastq.gz,syn26330656,V0,300-0496,BRI_530
BRI_530_S22_L001_R2_001.fastq.gz,syn26330657,V0,300-0496,BRI_530
BRI_476_S4_L001_R1_001.fastq.gz,syn26330150,V0,300-0531,BRI_476
BRI_476_S4_L001_R2_001.fastq.gz,syn26330154,V0,300-0531,BRI_476
BRI_478_S5_L001_R1_001.fastq.gz,syn26330138,V0,301-1468,BRI_478
BRI_478_S5_L001_R2_001.fastq.gz,syn26330139,V0,301-1468,BRI_478
BRI_488_S10_L001_R1_001.fastq.gz,syn26330293,V0,301-0166,BRI_488
BRI_488_S10_L001_R2_001.fastq.gz,syn26330306,V0,301-0166,BRI_488
BRI_524_S19_L001_R1_001.fastq.gz,syn26330649,V0,301-0266,BRI_524
BRI_524_S19_L001_R2_001.fastq.gz,syn26330654,V0,301-0266,BRI_524
BRI_441_S19_L001_R1_001.fastq.gz,syn26330430,V0,300-1934,BRI_441
BRI_441_S19_L001_R2_001.fastq.gz,syn26330434,V0,300-1934,BRI_441
BRI_486_S9_L001_R1_001.fastq.gz,syn26330269,V0,300-0489,BRI_486
BRI_486_S9_L001_R2_001.fastq.gz,syn26330280,V0,300-0489,BRI_486
BRI_430_S15_L001_R1_001.fastq.gz,syn26330381,V0,300-2662,BRI_430
BRI_430_S15_L001_R2_001.fastq.gz,syn26330382,V0,300-2662,BRI_430
BRI_432_S16_L001_R1_001.fastq.gz,syn26330384,V0,300-0453,BRI_432
BRI_432_S16_L001_R2_001.fastq.gz,syn26330385,V0,300-0453,BRI_432
BRI_480_S6_L001_R1_001.fastq.gz,syn26330219,V0,300-0174,BRI_480
BRI_480_S6_L001_R2_001.fastq.gz,syn26330248,V0,300-0174,BRI_480
BRI_418_S10_L001_R1_001.fastq.gz,syn26330258,V0,300-0228,BRI_418
BRI_418_S10_L001_R2_001.fastq.gz,syn26330260,V0,300-0228,BRI_418
BRI_461_S2_L001_R1_001.fastq.gz,syn26330567,V0,300-0173,BRI_461
BRI_461_S2_L001_R2_001.fastq.gz,syn26330609,V0,300-0173,BRI_461
BRI_443_S20_L001_R1_001.fastq.gz,syn26330516,V0,301-0168,BRI_443
BRI_443_S20_L001_R2_001.fastq.gz,syn26330518,V0,301-0168,BRI_443
BRI_439_S18_L001_R1_001.fastq.gz,syn26330411,V0,301-0269,BRI_439
BRI_439_S18_L001_R2_001.fastq.gz,syn26330417,V0,301-0269,BRI_439
BRI_457_S1_L001_R1_001.fastq.gz,syn26330536,V0,301-1470,BRI_457
BRI_457_S1_L001_R2_001.fastq.gz,syn26330538,V0,301-1470,BRI_457
BRI_428_S14_L001_R1_001.fastq.gz,syn26330372,V0,300-0414,BRI_428
BRI_428_S14_L001_R2_001.fastq.gz,syn26330374,V0,300-0414,BRI_428
BRI_463_S3_L001_R1_001.fastq.gz,syn26330217,V0,300-1930,BRI_463
BRI_463_S3_L001_R2_001.fastq.gz,syn26330238,V0,300-1930,BRI_463
BRI_412_S7_L001_R1_001.fastq.gz,syn26330211,V0,300-0309,BRI_412
BRI_412_S7_L001_R2_001.fastq.gz,syn26330216,V0,300-0309,BRI_412
BRI_437_S17_L001_R1_001.fastq.gz,syn26330401,V0,300-0223,BRI_437
BRI_437_S17_L001_R2_001.fastq.gz,syn26330406,V0,300-0223,BRI_437
BRI_426_S13_L001_R1_001.fastq.gz,syn26330373,V0,300-0408,BRI_426
BRI_426_S13_L001_R2_001.fastq.gz,syn26330375,V0,300-0408,BRI_426
BRI_459_S1_L001_R1_001.fastq.gz,syn26330147,V0,300-2666,BRI_459
BRI_459_S1_L001_R2_001.fastq.gz,syn26330213,V0,300-2666,BRI_459
BRI_406_S4_L001_R1_001.fastq.gz,syn26330660,V0,300-0310,BRI_406
BRI_406_S4_L001_R2_001.fastq.gz,syn26330662,V0,300-0310,BRI_406
BRI_422_S12_L001_R1_001.fastq.gz,syn26330303,V0,300-0501,BRI_422
BRI_422_S12_L001_R2_001.fastq.gz,syn26330370,V0,300-0501,BRI_422
BRI_420_S11_L001_R1_001.fastq.gz,syn26330291,V0,300-2669,BRI_420
BRI_420_S11_L001_R2_001.fastq.gz,syn26330292,V0,300-2669,BRI_420
